EEID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Cur_Bonus,Country,City,EmploymentRating,DaysOfAbsence,EducationLevel,CertificationsEarned,Predicted Bonus
E00747,Leilani Baker,Technical Architect,IT,Speciality Products,Female,Caucasian,59,4/4/2010,76027,0,United States,Seattle,8,9,Bachelor's,0,0.197853182873175
E00784,Ella Nguyen,Service Desk Analyst,IT,Corporate,Female,Asian,60,2/10/2004,90258,0,China,Chongqing,10,3,Master's,0,0.19776889480655
E00813,Autumn Joseph,Enterprise Architect,IT,Corporate,Female,Black,39,5/9/2018,73317,0,United States,Miami,8,15,PhD,2,0.224461324189982
E00816,Skylar Watson,Network Architect,IT,Speciality Products,Female,Asian,45,11/29/2010,86302,0,United States,Phoenix,9,10,Bachelor's,0,0.200481940613042
E00836,Addison Roberts,Network Architect,IT,Manufacturing,Female,Caucasian,65,5/14/2018,60985,0,United States,Seattle,8,3,Bachelor's,4,0.193682090565422
E00862,Levi Moreno,Systems Analyst,IT,Research & Development,Male,Latino,64,6/27/2020,40316,0,Brazil,Manaus,7,7,PhD,2,0.210806923972363
E00869,Nova Lin,Cloud Infrastructure Architect,IT,Manufacturing,Female,Asian,33,10/21/2017,69332,0,United States,Columbus,9,15,Bachelor's,1,0.209677264122588
E00870,Evelyn Liang,Service Desk Analyst,IT,Speciality Products,Female,Asian,40,6/26/2013,69096,0,United States,Seattle,10,13,Bachelor's,4,0.211540340305445
E00929,Allison Espinoza,Solutions Architect,IT,Speciality Products,Female,Latino,45,4/16/2020,66958,0,United States,Miami,7,0,Master's,1,0.191202486183815
E00965,Jacob Khan,Computer Systems Manager,IT,Speciality Products,Male,Asian,53,2/9/2008,84193,0.0009,China,Shanghai,6,3,Bachelor's,3,0.190254894053894
E00981,Miles Thao,System Administrator�,IT,Corporate,Male,Asian,57,6/26/2003,63318,0,United States,Columbus,5,15,Master's,3,0.215361260200925
E01037,Jeremiah Chu,IT Systems Architect,IT,Research & Development,Male,Asian,31,9/12/2020,96567,0,China,Shanghai,6,8,Bachelor's,0,0.194170759175977
E01064,Clara Kang,Sr. Manger,IT,Manufacturing,Female,Asian,39,3/25/2017,135325,0.0014,United States,Phoenix,7,5,Master's,1,0.199077945096495
E01103,Lyla Alvarez,IT Systems Architect,IT,Research & Development,Female,Latino,55,8/30/1994,73955,0,United States,Phoenix,9,9,Bachelor's,3,0.202866442621103
E01125,Joshua Yang,Network Engineer,IT,Manufacturing,Male,Asian,34,11/10/2018,61944,0,China,Shanghai,10,6,Bachelor's,0,0.195235239440229
E01148,Scarlett Kumar,Systems Analyst,IT,Corporate,Female,Asian,55,1/7/2009,47032,0,United States,Columbus,9,16,Master's,2,0.21983115121592
E01241,Hadley Guerrero,Sr. Manger,IT,Research & Development,Female,Latino,49,1/14/2004,125086,0.001,Brazil,Sao Paulo,8,12,Bachelor's,2,0.205218187414515
E01249,Penelope Guerrero,Vice President,IT,Speciality Products,Female,Latino,43,8/4/2009,208415,0.0035,United States,Seattle,8,0,Bachelor's,1,0.184997221427216
E01258,Gabriel Brooks,Network Engineer,IT,Manufacturing,Male,Caucasian,29,12/10/2018,84596,0,United States,Miami,8,1,Bachelor's,4,0.19053190700035
E01281,Isaac Mitchell,Network Architect,IT,Speciality Products,Male,Black,46,6/10/2005,67374,0,United States,Austin,6,14,Bachelor's,3,0.20758090366179
E01339,Jeremiah Hernandez,Network Engineer,IT,Manufacturing,Male,Latino,26,4/14/2019,74467,0,United States,Columbus,7,14,Bachelor's,2,0.207314705022256
E01351,Leo Owens,Systems Analyst,IT,Corporate,Male,Caucasian,47,4/23/2020,50069,0,United States,Seattle,5,9,Bachelor's,2,0.197331914194913
E01361,Emma Hill,IT Coordinator,IT,Manufacturing,Female,Caucasian,54,12/27/2016,41673,0,United States,Miami,5,13,Master's,2,0.210891212038987
E01363,Ayla Daniels,Technical Architect,IT,Corporate,Female,Caucasian,53,4/23/1997,78153,0,United States,Miami,10,13,Bachelor's,3,0.210220475708579
E01366,William Walker,Computer Systems Manager,IT,Research & Development,Male,Black,40,2/24/2019,95899,0.001,United States,Columbus,10,4,Bachelor's,1,0.193404920472023
E01378,Genesis Xiong,System Administrator�,IT,Research & Development,Female,Asian,51,2/25/2012,64170,0,United States,Columbus,7,2,Bachelor's,2,0.188413603631823
E01387,Cora Zheng,Director,IT,Manufacturing,Female,Asian,27,1/3/2018,167100,0.002,China,Chengdu,8,15,Bachelor's,0,0.207303733568391
E01403,Xavier Park,Vice President,IT,Research & Development,Male,Asian,40,11/8/2020,234469,0.0031,China,Chengdu,9,11,Master's,3,0.213275556900105
E01417,Leah Pena,Enterprise Architect,IT,Corporate,Female,Latino,57,1/3/1994,82872,0,Brazil,Manaus,10,7,Master's,3,0.208028855727292
E01423,James Castillo,Vice President,IT,Manufacturing,Male,Latino,51,7/19/2001,247874,0.0033,Brazil,Manaus,10,4,Bachelor's,0,0.192085055875157
E01429,Dylan Wilson,Network Administrator,IT,Research & Development,Male,Caucasian,48,9/27/2006,76505,0,United States,Seattle,7,15,PhD,4,0.226047387426383
E01432,Peyton Garza,Systems Analyst,IT,Manufacturing,Female,Latino,53,8/15/2004,44735,0,Brazil,Manaus,9,1,Bachelor's,4,0.191585572957681
E01479,Serenity Bailey,IT Systems Architect,IT,Manufacturing,Female,Caucasian,55,11/21/2011,81218,0,United States,Chicago,10,1,PhD,3,0.205837235746005
E01484,Anna Zhu,Service Desk Analyst,IT,Manufacturing,Female,Asian,48,8/22/2003,82017,0,China,Beijing,7,3,Bachelor's,2,0.189988695414359
E01496,Ava Ortiz,Enterprise Architect,IT,Manufacturing,Female,Latino,53,7/20/2004,65702,0,United States,Columbus,8,15,PhD,4,0.227101053383714
E01519,Anthony Marquez,Vice President,IT,Speciality Products,Male,Latino,54,8/15/2009,241083,0.0039,United States,Columbus,9,10,Bachelor's,1,0.201801805209908
E01524,Ian Miller,Computer Systems Manager,IT,Corporate,Male,Black,31,10/13/2016,63744,0.0008,United States,Austin,8,14,Bachelor's,4,0.211008100173318
E01540,Miles Salazar,IT Coordinator,IT,Manufacturing,Male,Latino,36,12/23/2010,53215,0,Brazil,Sao Paulo,10,11,Bachelor's,2,0.205750427546641
E01550,Ruby Barnes,Manager,IT,Corporate,Female,Caucasian,27,7/1/2020,119746,0.001,United States,Phoenix,7,13,Master's,0,0.210358814759918
E01578,Anthony Hong,Sr. Manger,IT,Research & Development,male,Asian,37,11/29/2010,146961,0.0011,United States,Columbus,6,7,Bachelor's,2,0.195235396587172
E01591,Paisley Trinh,Technical Architect,IT,Corporate,Female,Asian,57,5/4/1992,76202,0,United States,Austin,8,11,Bachelor's,3,0.204962960228844
E01611,Gabriella Zhu,Computer Systems Manager,IT,Speciality Products,Female,Asian,36,11/29/2014,88730,0.0008,China,Chongqing,8,16,Bachelor's,4,0.21415828373839
E01638,Maria He,IT Systems Architect,IT,Corporate,Female,Asian,45,8/28/2010,82162,0,China,Beijing,7,0,Master's,3,0.193842215377546
E01642,Mia Lam,Sr. Manger,IT,Manufacturing,Female,Asian,49,4/18/2006,134486,0.0014,United States,Austin,8,2,Bachelor's,1,0.188147404992288
E01649,Eva Alvarado,Computer Systems Manager,IT,Manufacturing,Female,Latino,46,4/24/2017,77461,0.0009,Brazil,Sao Paulo,10,4,Bachelor's,2,0.194724785068889
E01722,Asher Huynh,Manager,IT,Manufacturing,Male,Asian,45,1/22/2015,101288,0.001,United States,Abu Dhabi,10,9,Bachelor's,4,0.2052399731753
E01724,Nolan Molina,Computer Systems Manager,IT,Corporate,Male,Latino,36,12/27/2020,70165,0.0007,Brazil,Manaus,6,2,Master's,4,0.197258597582153
E01834,Chloe Allen,Solutions Architect,IT,Manufacturing,Female,Caucasian,64,7/8/2004,77903,0,United States,Seattle,7,11,Bachelor's,0,0.199949700480916
E01895,Gabriel Zhou,IT Coordinator,IT,Manufacturing,Male,Asian,25,1/17/2021,41844,0,China,Chongqing,9,5,Bachelor's,4,0.197885940087825
E01898,Oliver Moua,IT Systems Architect,IT,Corporate,Male,Asian,29,6/28/2021,71234,0,United States,Seattle,10,10,Bachelor's,1,0.202855471167239
E01927,Charles Moore,Technical Architect,IT,Manufacturing,Male,Black,34,2/16/2016,63411,0,United States,Miami,9,7,Bachelor's,2,0.198396394459166
E01952,Everett Lee,Network Administrator,IT,Research & Development,Male,Asian,45,2/26/2010,90770,0,United States,Columbus,5,14,Master's,1,0.211146439224657
E01958,Angel Lin,Network Administrator,IT,Manufacturing,Male,Asian,27,12/24/2020,92321,0,United States,Chicago,6,14,Master's,0,0.210880240585123
E01986,Wesley Sharma,Manager,IT,Corporate,Male,Asian,51,2/23/1994,122802,0.0005,China,Shanghai,7,10,Bachelor's,1,0.199694473295246
E01995,Jonathan Ho,Vice President,IT,Manufacturing,Male,Asian,37,6/25/2011,221592,0.0031,United States,Columbus,9,11,Master's,2,0.211955692303239
E02005,Isabella Bui,Enterprise Architect,IT,Manufacturing,Female,Asian,36,11/21/2014,97500,0,United States,Miami,6,4,Bachelor's,1,0.189190256642698
E02012,Anna Han,System Administrator�,IT,Research & Development,Female,Asian,65,5/8/2003,96548,0,United States,Austin,9,0,Bachelor's,2,0.187370751981413
E02023,Maverick Mehta,Systems Analyst,IT,Manufacturing,Male,Asian,40,7/30/2007,41859,0,United States,Seattle,5,6,PhD,1,0.205804635678299
E02035,Eli Rahman,Service Desk Analyst,IT,Manufacturing,Male,Asian,45,3/16/2010,88182,0,China,Chengdu,5,3,Master's,3,0.196460158810492
E02074,Nora Brown,Enterprise Architect,IT,Manufacturing,Female,Caucasian,32,2/11/2014,99575,0,United States,Austin,8,13,Bachelor's,4,0.209433008390782
E02094,Matthew Gupta,Network Engineer,IT,Speciality Products,Male,Asian,45,9/18/2005,67686,0,China,Beijing,9,12,Bachelor's,2,0.206271853371846
E02135,John Delgado,Cloud Infrastructure Architect,IT,Corporate,Male,Latino,30,2/11/2017,92058,0,United States,Austin,9,13,Bachelor's,2,0.207846945154382
E02185,Wyatt Rojas,Computer Systems Manager,IT,Corporate,Male,Latino,32,3/20/2013,79921,0.0005,United States,Austin,10,14,Bachelor's,1,0.209155838297383
E02192,Lucy Avila,Solutions Architect,IT,Speciality Products,Female,Latino,43,4/22/2010,76912,0,Brazil,Sao Paulo,6,0,Bachelor's,1,0.182889889512554
E02216,Caleb Marquez,IT Systems Architect,IT,Research & Development,Male,Latino,29,10/15/2019,66819,0,Brazil,Rio de Janerio,7,16,Bachelor's,2,0.210464888587328
E02217,William Phillips,Network Architect,IT,Corporate,Male,Black,61,1/27/2004,88478,0,United States,Austin,7,4,Bachelor's,2,0.191563787196895
E02221,Julian Delgado,Systems Analyst,IT,Speciality Products,Male,Latino,29,5/19/2016,52693,0,Brazil,Rio de Janerio,8,15,Bachelor's,0,0.207303733568391
E02227,Sofia Parker,Cloud Infrastructure Architect,IT,Manufacturing,Female,Caucasian,36,5/30/2014,99080,0,United States,Chicago,7,1,Bachelor's,0,0.184198782655555
E02258,Eliza Chen,Enterprise Architect,IT,Research & Development,Female,Asian,36,4/29/2016,75862,0,United States,Austin,7,0,Bachelor's,3,0.186583284663617
E02274,Isabella Bailey,Network Administrator,IT,Manufacturing,Female,Caucasian,36,8/23/2010,61310,0,United States,Phoenix,6,15,PhD,4,0.224993721469051
E02283,Jaxon Park,Network Architect,IT,Manufacturing,Male,Asian,33,7/24/2020,69453,0,China,Chengdu,7,9,Bachelor's,3,0.200759110706441
E02313,Jeremiah Lu,Network Architect,IT,Manufacturing,Male,Asian,50,3/6/2001,73907,0,China,Shanghai,7,7,Bachelor's,4,0.198928791738235
E02331,Sophia Huynh,Enterprise Architect,IT,Manufacturing,Female,Asian,55,8/9/2005,92771,0,United States,Miami,7,10,Master's,1,0.206953404009175
E02333,Jaxson Wright,Service Desk Analyst,IT,Manufacturing,Male,Black,54,12/28/2010,64417,0,United States,Columbus,10,13,Bachelor's,1,0.207580746514847
E02387,Emily Davis,Sr. Manger,IT,Research & Development,Female,Black,55,4/8/2016,141604,0.0015,United States,Seattle,5,2,Master's,2,0.193565202431091
E02428,Connor Luu,Computer Systems Manager,IT,Speciality Products,Male,Asian,35,5/3/2016,73899,0.0005,China,Chengdu,10,15,Master's,0,0.216669996196983
E02440,Grayson Turner,Solutions Architect,IT,Corporate,Male,Caucasian,54,6/30/1992,63196,0,United States,Chicago,7,4,PhD,0,0.203441919431023
E02576,Gianna Ha,Manager,IT,Research & Development,Female,Asian,55,2/8/2005,115145,0.0005,China,Chongqing,5,3,Bachelor's,2,0.187881363499697
E02594,Ezekiel Kumar,IT Coordinator,IT,Research & Development,Male,Asian,28,6/25/2017,54775,0,United States,Columbus,6,1,Bachelor's,1,0.18446498129509
E02681,Caroline Owens,Director,IT,Speciality Products,Female,Caucasian,26,7/26/2021,151108,0.0022,United States,Phoenix,7,11,PhD,2,0.217107291102507
E02747,Kinsley Acosta,Vice President,IT,Speciality Products,Female,Latino,32,7/22/2020,192749,0.0031,United States,Chicago,5,7,Bachelor's,0,0.19154200143611
E02770,Liliana Do,Service Desk Analyst,IT,Manufacturing,Female,Asian,30,3/29/2019,86774,0,China,Chengdu,8,16,Master's,0,0.216137756064857
E02798,Charles Henderson,Systems Analyst,IT,Speciality Products,Male,Caucasian,48,2/11/2002,43080,0,United States,Austin,10,16,Master's,3,0.222204681770116
E02832,Penelope Jordan,Computer Systems Manager,IT,Manufacturing,Female,Caucasian,26,9/27/2019,84913,0.0007,United States,Chicago,8,3,Bachelor's,2,0.19104236137169
E02833,Adrian Fernandez,Systems Analyst,IT,Research & Development,Male,Latino,45,8/23/2001,54994,0,United States,Columbus,5,16,Bachelor's,0,0.205717827478934
E02855,Piper Cheng,Enterprise Architect,IT,Manufacturing,Female,Asian,45,11/29/2010,86302,0,United States,Miami,9,9,Bachelor's,3,0.202866442621103
E02861,Daniel Perry,Enterprise Architect,IT,Research & Development,Male,Caucasian,62,4/15/2001,80921,0,United States,Columbus,5,16,Bachelor's,1,0.2070376920758
E02862,Peyton Huang,Sr. Manger,IT,Manufacturing,Female,Asian,25,7/2/2021,125633,0.0011,China,Beijing,7,8,Bachelor's,3,0.199184018923905
E02875,Madeline Shin,Computer Systems Manager,IT,Speciality Products,Female,Asian,48,1/9/2007,74546,0.0009,United States,Seattle,5,0,Bachelor's,2,0.183156088152089
E02888,Elijah Ramos,Sr. Manger,IT,Speciality Products,Male,Latino,33,12/24/2012,132544,0.001,Brazil,Rio de Janerio,9,0,Bachelor's,2,0.187370751981413
E02903,Robert Vazquez,System Administrator�,IT,Corporate,Male,Latino,40,9/26/2021,87770,0,United States,Austin,6,3,Bachelor's,2,0.188935029457028
E02917,Everett Morales,Solutions Architect,IT,Speciality Products,Male,Latino,57,7/10/2014,66649,0,Brazil,Rio de Janerio,7,7,Bachelor's,2,0.196289062544503
E02971,Mia Wu,Enterprise Architect,IT,Corporate,Female,Asian,45,8/25/2013,99169,0,China,Beijing,8,1,Bachelor's,1,0.186572313209752
E02987,Mateo Harris,Manager,IT,Corporate,Male,Caucasian,30,8/5/2017,119906,0.0005,United States,Columbus,8,15,Bachelor's,0,0.207303733568391
E03042,Ava Nelson,Systems Analyst,IT,Manufacturing,Female,Caucasian,63,4/1/1992,53809,0,United States,Phoenix,10,12,Master's,0,0.211944720849375
E03058,Angel Xiong,Vice President,IT,Research & Development,Male,Asian,35,6/11/2015,234723,0.0036,China,Shanghai,6,15,Master's,4,0.217734790755122
E03090,Penelope Choi,Technical Architect,IT,Speciality Products,Female,Asian,49,9/10/2010,72826,0,China,Beijing,6,13,Master's,0,0.209305148802586
E03131,Ezekiel Reed,Sr. Manger,IT,Manufacturing,Male,Caucasian,37,11/29/2010,86302,0,United States,Austin,9,14,Master's,2,0.216680967650847
E03149,Layla Collins,IT Systems Architect,IT,Speciality Products,Female,Caucasian,26,3/11/2021,74170,0,United States,Austin,8,13,PhD,0,0.218671411431178
E03166,Austin Edwards,IT Coordinator,IT,Manufacturing,Male,Black,42,9/24/2006,52733,0,United States,Chicago,7,10,Master's,1,0.206953404009175
E03168,Nora Le,Sr. Manger,IT,Manufacturing,Female,Asian,53,4/12/1997,154388,0.001,United States,Seattle,6,3,Bachelor's,3,0.190254894053894
E03223,Ethan Joseph,IT Coordinator,IT,Research & Development,Male,Caucasian,45,5/28/2018,49219,0,United States,Columbus,8,16,PhD,3,0.227356280569384
E03227,Eli Richardson,IT Coordinator,IT,Speciality Products,Male,Caucasian,38,4/19/2015,48762,0,United States,Seattle,6,2,Bachelor's,1,0.186040073077626
E03240,Aiden Silva,Vice President,IT,Research & Development,Male,Latino,42,11/29/2010,186725,0.0032,Brazil,Manaus,8,3,Bachelor's,0,0.188402632177959
E03248,Lyla Stewart,Sr. Manger,IT,Speciality Products,Female,Caucasian,43,3/27/2015,120321,0.0012,United States,Austin,10,10,Bachelor's,2,0.204175335764105
E03255,Jose Brown,System Administrator�,IT,Speciality Products,Male,Caucasian,43,4/7/2016,67976,0,United States,Seattle,8,4,Bachelor's,1,0.191297588557361
E03269,Charlotte Chu,Network Engineer,IT,Manufacturing,Female,Asian,50,1/23/2001,97537,0,China,Chengdu,7,7,Bachelor's,0,0.193649333350772
E03278,Nevaeh James,Solutions Architect,IT,Speciality Products,Female,Caucasian,45,11/3/2017,66660,0,United States,Austin,7,8,PhD,3,0.213701880351764
E03292,Cora Evans,Computer Systems Manager,IT,Speciality Products,Female,Black,45,3/26/2018,86478,0.0006,United States,Austin,5,15,Bachelor's,2,0.206782464890129
E03296,Eloise Trinh,Solutions Architect,IT,Speciality Products,Female,Asian,39,4/22/2020,90535,0,United States,Miami,8,12,Master's,4,0.215116847322176
E03328,Lucy Johnson,Manager,IT,Research & Development,Female,Caucasian,57,4/27/2020,103058,0.0007,United States,Columbus,9,4,PhD,4,0.210828709733148
E03332,Ruby Sun,Cloud Infrastructure Architect,IT,Manufacturing,Female,Asian,50,9/6/2021,83418,0,China,Shanghai,5,2,Bachelor's,2,0.186306271717161
E03349,Anna Mehta,Cloud Infrastructure Architect,IT,Speciality Products,Female,Asian,32,1/5/2020,78844,0,United States,Seattle,8,4,Bachelor's,1,0.191297588557361
E03354,Silas Estrada,IT Systems Architect,IT,Corporate,Male,Latino,49,6/24/2016,68426,0,Brazil,Rio de Janerio,6,15,Bachelor's,3,0.209155995444326
E03371,Jack Alexander,Vice President,IT,Manufacturing,Male,Caucasian,56,5/29/2006,228822,0.0036,United States,Miami,9,10,Bachelor's,0,0.200481940613042
E03417,Benjamin Moua,Computer Systems Manager,IT,Manufacturing,Male,Asian,40,7/2/2007,93971,0.0008,China,Chongqing,7,4,Bachelor's,1,0.190243922600029
E03440,Genesis Navarro,Cloud Infrastructure Architect,IT,Corporate,Female,Latino,41,4/28/2009,69803,0,Brazil,Manaus,7,0,Bachelor's,3,0.186583284663617
E03455,Hadley Ford,Systems Analyst,IT,Research & Development,Female,Caucasian,52,2/23/2005,45286,0,United States,Chicago,9,0,Master's,0,0.191989953501611
E03474,Violet Hall,Solutions Architect,IT,Corporate,Female,Caucasian,40,12/10/2010,97807,0,United States,Chicago,7,8,Bachelor's,2,0.197864154327039
E03484,Logan Rivera,Director,IT,Research & Development,Male,Latino,59,5/24/2002,172787,0.0028,Brazil,Rio de Janerio,8,12,Master's,0,0.209837388934713
E03519,Eliza Zheng,Computer Systems Manager,IT,Speciality Products,Female,Asian,48,4/20/2014,91679,0.0007,China,Chongqing,5,4,Bachelor's,3,0.190776319879099
E03538,Gabriel Holmes,Enterprise Architect,IT,Research & Development,Male,Caucasian,45,11/4/2010,92952,0,United States,Seattle,10,14,Bachelor's,0,0.207835973700517
E03540,Emma Perry,Solutions Architect,IT,Manufacturing,Female,Caucasian,28,1/22/2018,68176,0,United States,Seattle,5,4,Bachelor's,0,0.186816726088501
E03567,Adam Kaur,Technical Architect,IT,Research & Development,Male,Latino,51,4/15/2008,86431,0,United States,Columbus,8,3,Bachelor's,4,0.193682090565422
E03574,John Moore,Vice President,IT,Speciality Products,Male,Caucasian,52,11/8/2005,199808,0.0032,United States,Seattle,5,8,Bachelor's,2,0.195756822412377
E03595,Christopher Howard,Enterprise Architect,IT,Speciality Products,Male,Caucasian,61,8/26/2019,75780,0,United States,Seattle,6,8,Master's,0,0.201429689889906
E03616,Josiah Lewis,Manager,IT,Research & Development,Male,Caucasian,46,8/11/2021,127559,0.001,United States,Austin,9,10,Master's,1,0.209060735923837
E03626,Nicholas Avila,Enterprise Architect,IT,Research & Development,Male,Latino,28,9/28/2017,97336,0,United States,Austin,10,11,Bachelor's,0,0.203110698352909
E03680,Elias Alvarado,Sr. Manger,IT,Manufacturing,Male,Latino,56,1/9/2012,146140,0.001,Brazil,Manaus,7,10,Bachelor's,2,0.201014337892111
E03685,Silas Hunter,Solutions Architect,IT,Corporate,Male,Black,55,5/4/1998,62174,0,United States,Chicago,10,2,Master's,2,0.198833532217746
E03691,Colton Garcia,Solutions Architect,IT,Speciality Products,Male,Latino,55,11/17/1993,80170,0,United States,Miami,9,6,Master's,4,0.206719962584291
E03807,Kennedy Do,Computer Systems Manager,IT,Manufacturing,Female,Asian,42,10/15/2005,67398,0.0007,United States,Phoenix,6,14,Master's,3,0.21483983437572
E03830,Eva Coleman,Director,IT,Research & Development,Female,Black,37,9/20/2009,167199,0.002,United States,Seattle,7,7,Bachelor's,3,0.197608927141369
E03854,Camila Li,Sr. Manger,IT,Research & Development,Female,Asian,60,7/24/2010,126911,0.001,China,Shanghai,6,3,Bachelor's,4,0.19157475865076
E03870,Madeline Allen,Cloud Infrastructure Architect,IT,Manufacturing,Female,Caucasian,30,2/3/2020,94652,0,United States,Seattle,10,0,PhD,2,0.202942279366604
E03881,Andrew Reed,System Administrator�,IT,Corporate,Male,Black,28,6/17/2019,65341,0,United States,Miami,8,2,Master's,3,0.19804606489995
E03902,Madison Hunter,Network Administrator,IT,Corporate,Female,Caucasian,40,2/5/2012,61523,0,United States,Columbus,8,10,Bachelor's,3,0.203387868446308
E03908,Miles Evans,Network Architect,IT,Manufacturing,Male,Caucasian,54,10/24/1994,87216,0,United States,Miami,8,1,Bachelor's,3,0.189212042403484
E03928,Miles Dang,IT Coordinator,IT,Speciality Products,male,Asian,61,9/24/2000,40063,0,United States,Miami,6,7,Master's,0,0.19985459810737
E03935,Cora Jiang,Vice President,IT,Corporate,Female,Asian,53,4/30/2008,182202,0.003,United States,Austin,10,6,Bachelor's,2,0.197874968633961
E03941,Isla Han,Technical Architect,IT,Manufacturing,Female,Asian,58,6/18/2005,86089,0,United States,Chicago,9,7,Bachelor's,0,0.195756665265434
E04041,Clara Huynh,IT Coordinator,IT,Speciality Products,Female,Asian,39,11/18/2020,48415,0,China,Shanghai,5,8,Bachelor's,0,0.193117093218646
E04048,Julian Lee,IT Systems Architect,IT,Corporate,Male,Asian,51,1/17/2003,91399,0,United States,Seattle,9,5,Bachelor's,1,0.193926346297228
E04079,Christopher Butler,Network Architect,IT,Manufacturing,Male,Caucasian,41,10/5/2017,67468,0,United States,Miami,10,14,Bachelor's,2,0.210475702894249
